,Index,Variant,"Region, subregion, country or area *",Notes,Country code,Type,Parent code,Reference date (as of 1 July),0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90-94,95-99,100+,monocheck
5536,5537,Estimates,Sierra Leone,,694,Country/Area,914,2019,1147.0,1060.0,975.0,853.0,736.0,636.0,539.0,449.0,361.0,290.0,229.0,177.0,132.0,96.0,67.0,40.0,19.0,7.0,2.0,0.0,0.0,1.0
5607,5608,Estimates,Togo,,768,Country/Area,914,2019,1204.0,1107.0,1003.0,863.0,720.0,619.0,557.0,484.0,400.0,316.0,244.0,188.0,143.0,104.0,69.0,38.0,16.0,5.0,1.0,0.0,0.0,1.0
5891,5892,Estimates,Egypt,,818,Country/Area,912,2019,12804.0,11818.0,9344.0,8625.0,8367.0,8107.0,7982.0,6940.0,5820.0,4755.0,4128.0,3550.0,2852.0,2106.0,1595.0,818.0,487.0,214.0,63.0,13.0,1.0,1.0
6104,6105,Estimates,Sudan,,729,Country/Area,912,2019,6246.0,5712.0,5234.0,4692.0,4039.0,3343.0,2716.0,2344.0,1970.0,1655.0,1379.0,1086.0,844.0,636.0,436.0,267.0,139.0,56.0,16.0,3.0,0.0,1.0
6743,6744,Estimates,Iraq,,368,Country/Area,922,2019,5374.0,5111.0,4461.0,4090.0,3728.0,3286.0,2843.0,2410.0,2090.0,1724.0,1331.0,861.0,666.0,596.0,312.0,241.0,123.0,49.0,13.0,2.0,0.0,1.0
6814,6815,Estimates,Israel,,376,Country/Area,922,2019,847.0,808.0,721.0,657.0,612.0,567.0,563.0,555.0,537.0,482.0,407.0,372.0,352.0,351.0,271.0,160.0,123.0,83.0,39.0,12.0,1.0,1.0
7311,7312,Estimates,State of Palestine,7,275,Country/Area,922,2019,690.0,659.0,576.0,512.0,498.0,452.0,352.0,284.0,239.0,194.0,161.0,123.0,83.0,62.0,47.0,28.0,15.0,5.0,1.0,0.0,0.0,1.0
7595,7596,Estimates,Yemen,,887,Country/Area,922,2019,4099.0,3859.0,3481.0,3147.0,2911.0,2752.0,2232.0,1722.0,1288.0,951.0,750.0,633.0,491.0,358.0,249.0,138.0,68.0,25.0,7.0,1.0,0.0,1.0
8234,8235,Estimates,Afghanistan,,4,Country/Area,5501,2019,5639.0,5402.0,5116.0,4519.0,3795.0,2984.0,2394.0,1988.0,1593.0,1254.0,995.0,779.0,590.0,431.0,300.0,159.0,73.0,25.0,6.0,1.0,0.0,1.0
8731,8732,Estimates,Pakistan,,586,Country/Area,5501,2019,27668.0,25106.0,23141.0,21774.0,20564.0,18814.0,16323.0,13521.0,11226.0,9360.0,8028.0,6663.0,5018.0,3483.0,2660.0,1805.0,933.0,367.0,97.0,16.0,1.0,1.0
