,Index,Variant,"Region, subregion, country or area *",Notes,Country code,Type,Parent code,Reference date (as of 1 July),0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90-94,95-99,100+,monocheck
5466,5467,Estimates,Senegal,,686,Country/Area,914,2020,2615.0,2417.0,2099.0,1765.0,1519.0,1304.0,1111.0,941.0,742.0,590.0,467.0,367.0,286.0,220.0,146.0,94.0,45.0,14.0,2.0,0.0,0.0,1.0
5537,5538,Estimates,Sierra Leone,,694,Country/Area,914,2020,1159.0,1067.0,992.0,875.0,754.0,651.0,554.0,463.0,373.0,300.0,236.0,183.0,136.0,98.0,68.0,40.0,19.0,6.0,1.0,0.0,0.0,1.0
5608,5609,Estimates,Togo,,768,Country/Area,914,2020,1220.0,1120.0,1024.0,891.0,744.0,632.0,567.0,497.0,415.0,330.0,255.0,196.0,148.0,108.0,72.0,40.0,16.0,4.0,1.0,0.0,0.0,1.0
5892,5893,Estimates,Egypt,,818,Country/Area,912,2020,12697.0,12331.0,9684.0,8701.0,8417.0,8095.0,8065.0,7133.0,6041.0,4908.0,4213.0,3632.0,2961.0,2161.0,1666.0,865.0,484.0,210.0,59.0,10.0,1.0,1.0
6105,6106,Estimates,Sudan,,729,Country/Area,912,2020,6339.0,5790.0,5323.0,4801.0,4159.0,3468.0,2799.0,2404.0,2027.0,1700.0,1425.0,1128.0,875.0,661.0,455.0,278.0,143.0,56.0,15.0,3.0,0.0,1.0
6744,6745,Estimates,Iraq,,368,Country/Area,922,2020,5380.0,5230.0,4559.0,4152.0,3800.0,3366.0,2927.0,2476.0,2150.0,1787.0,1415.0,926.0,670.0,623.0,332.0,242.0,127.0,48.0,12.0,2.0,0.0,1.0
7312,7313,Estimates,State of Palestine,7,275,Country/Area,922,2020,693.0,672.0,592.0,517.0,499.0,467.0,370.0,294.0,247.0,201.0,167.0,130.0,88.0,64.0,48.0,29.0,15.0,5.0,1.0,0.0,0.0,1.0
7596,7597,Estimates,Yemen,,887,Country/Area,922,2020,4115.0,3918.0,3549.0,3202.0,2925.0,2808.0,2329.0,1811.0,1362.0,1001.0,773.0,650.0,509.0,370.0,259.0,144.0,69.0,24.0,6.0,1.0,0.0,1.0
8235,8236,Estimates,Afghanistan,,4,Country/Area,5501,2020,5673.0,5416.0,5192.0,4629.0,3926.0,3109.0,2478.0,2056.0,1659.0,1305.0,1032.0,808.0,613.0,445.0,312.0,168.0,76.0,24.0,5.0,1.0,0.0,1.0
8732,8733,Estimates,Pakistan,,586,Country/Area,5501,2020,27963.0,25499.0,23452.0,21976.0,20772.0,19158.0,16818.0,13998.0,11616.0,9633.0,8231.0,6892.0,5279.0,3623.0,2706.0,1853.0,962.0,365.0,85.0,11.0,1.0,1.0
9868,9869,Estimates,Lao People's Democratic Republic,,418,Country/Area,920,2020,797.0,770.0,758.0,709.0,692.0,671.0,591.0,496.0,417.0,356.0,289.0,238.0,184.0,134.0,85.0,52.0,27.0,10.0,2.0,0.0,0.0,1.0
11004,11005,Estimates,Dominican Republic,,214,Country/Area,915,2020,1003.0,997.0,977.0,959.0,940.0,915.0,826.0,739.0,668.0,606.0,541.0,473.0,389.0,294.0,204.0,137.0,95.0,53.0,23.0,8.0,2.0,1.0
11217,11218,Estimates,Haiti,,332,Country/Area,915,2020,1263.0,1238.0,1202.0,1144.0,1065.0,979.0,906.0,826.0,627.0,479.0,424.0,366.0,293.0,231.0,151.0,109.0,62.0,27.0,8.0,2.0,0.0,1.0
12353,12354,Estimates,Panama,,591,Country/Area,916,2020,389.0,384.0,369.0,357.0,349.0,329.0,317.0,301.0,288.0,268.0,235.0,198.0,160.0,123.0,92.0,66.0,44.0,26.0,12.0,4.0,1.0,1.0
12566,12567,Estimates,Bolivia (Plurinational State of),,68,Country/Area,931,2020,1185.0,1179.0,1161.0,1137.0,1065.0,974.0,871.0,768.0,668.0,570.0,481.0,403.0,336.0,279.0,225.0,167.0,107.0,60.0,27.0,8.0,2.0,1.0
13915,13916,Estimates,Papua New Guinea,,598,Country/Area,928,2020,1107.0,1043.0,994.0,924.0,837.0,717.0,637.0,584.0,511.0,428.0,349.0,280.0,217.0,155.0,90.0,47.0,20.0,6.0,1.0,0.0,0.0,1.0
13986,13987,Estimates,Solomon Islands,,90,Country/Area,928,2020,103.0,93.0,79.0,70.0,61.0,51.0,43.0,39.0,37.0,32.0,23.0,18.0,13.0,10.0,7.0,5.0,2.0,1.0,0.0,0.0,0.0,1.0
14057,14058,Estimates,Vanuatu,,548,Country/Area,928,2020,42.0,39.0,37.0,30.0,26.0,25.0,23.0,18.0,16.0,13.0,12.0,9.0,7.0,5.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0
14554,14555,Estimates,Samoa,,882,Country/Area,957,2020,27.0,24.0,23.0,19.0,17.0,15.0,12.0,10.0,10.0,10.0,9.0,8.0,6.0,4.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0
14625,14626,Estimates,Tonga,,776,Country/Area,957,2020,12.0,12.0,12.0,11.0,10.0,7.0,6.0,6.0,5.0,5.0,5.0,4.0,3.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
